event,channel,n_epochs,peak_amplitude_uv,peak_latency_ms,mean_amplitude_0_800ms_uv
S_1,Fp1,6,-7.511763242683935,338.0,-2.0366147052113788
S_1,F3,6,-7.158175044200818,331.0,-0.9186305856758709
S_1,F7,6,-12.327132405316645,232.0,-2.774541023745333
S_1,FT9,6,-6.644222562644362,375.0,-0.5603336721661305
S_1,FC5,6,-7.384443205749355,330.0,-0.8794994224347151
S_1,FC1,6,-6.084784919742048,409.0,-0.8025798599520076
S_1,C3,6,-5.922286211660713,411.0,-0.5441714619405033
S_1,T7,6,-10.218678361448445,368.0,-1.3434351867056173
S_1,TP9,6,6.793500254411507,134.0,-0.4975033952277075
S_1,CP5,6,5.40457649013619,119.0,0.25736853021244194
S_1,CP1,6,-5.942167134154851,414.0,-0.2760476805028212
S_1,Pz,6,7.398670963966274,356.0,0.906563911769992
S_1,P3,6,7.658803310719466,155.0,1.9729946259532327
S_1,P7,6,9.016939498668041,130.0,1.574676149199796
S_1,O1,6,9.118963296945065,272.0,1.5500327941875385
S_1,Oz,6,8.73602791667278,380.0,1.3335317749163953
S_1,O2,6,12.499155839495453,146.0,1.4606648422854869
S_1,P4,6,6.9091577638913,337.0,0.07096060904525357
S_1,P8,6,8.331383475228545,699.0,-0.26367197717217167
S_1,TP10,6,-8.89858488808521,33.0,-0.7720546009954822
S_1,CP6,6,7.512101030112339,411.0,-0.2859480238128361
S_1,CP2,6,-5.981530690563109,447.0,-0.6584380565555917
S_1,Cz,6,-7.224197213913155,431.0,-0.9145753501286705
S_1,C4,6,-4.604651741005615,648.0,-0.35771638030527064
S_1,T8,6,-7.155997937970946,637.0,-0.406374219664292
S_1,FT10,6,11.159492455367417,412.0,0.7838794526640929
S_1,FC6,6,6.430350521636117,411.0,0.19211353078691673
S_1,FC2,6,-4.742479584879631,262.0,-0.2261131397802722
S_1,F4,6,7.0816780380128295,450.0,1.151836023975161
S_1,F8,6,12.251607291343339,411.0,2.472966924028443
S_1,Fp2,6,10.269904461635281,449.0,0.7906595729519185
S_2,Fp1,8,14.269998622093768,535.0,-3.157807748528525
S_2,F3,8,-7.039388360207138,284.0,-1.1543598509690294
S_2,F7,8,-10.94900525230796,284.0,-2.8737952819269763
S_2,FT9,8,-6.776453790959862,543.0,-1.2713269628857486
S_2,FC5,8,-4.660983427716829,283.0,-0.5850347268907775
S_2,FC1,8,-4.978598405876939,291.0,-1.0754239187428207
S_2,C3,8,-3.829940130523708,127.0,-0.6271150304431401
S_2,T7,8,6.785797477316787,637.0,0.23797813824125702
S_2,TP9,8,-6.20297217838151,541.0,0.016515106663724303
S_2,CP5,8,-4.9885695480906955,501.0,-0.12069601230667515
S_2,CP1,8,-4.2738777489789275,122.0,-0.7762898182978464
S_2,Pz,8,6.015721979111119,308.0,0.2635337150826419
S_2,P3,8,5.979240023161201,654.0,-0.14754609858870812
S_2,P7,8,6.555897162436289,125.0,1.0518843708605647
S_2,O1,8,8.74728871757889,384.0,1.6037473397423736
S_2,Oz,8,6.26141827330781,89.0,1.1477477863014898
S_2,O2,8,7.663138496037925,251.0,1.6080653883315488
S_2,P4,8,4.1781853035141,295.0,-0.1709978175764124
S_2,P8,8,6.944768674319184,791.0,0.7219163844019222
S_2,TP10,8,11.294122835424778,791.0,1.7692662459032422
S_2,CP6,8,4.667859687381525,364.0,0.04686054297385763
S_2,CP2,8,-4.6611679173887435,381.0,-1.086708730131134
S_2,Cz,8,-5.5719241254270715,382.0,-0.5797154718151454
S_2,C4,8,5.324344205831269,739.0,0.30218607397491515
S_2,T8,8,7.814585881249813,46.0,1.7765067928554978
S_2,FT10,8,8.80069660284288,380.0,2.3820284526530715
S_2,FC6,8,7.128587920976707,323.0,1.030328690648564
S_2,FC2,8,4.844228193232371,734.0,-0.6250307508932996
S_2,F4,8,7.16845171595212,534.0,-0.21554102612664952
S_2,F8,8,10.079816054404997,507.0,1.9578161986786735
S_2,Fp2,8,23.660406514481338,534.0,-1.4489919811904575
S_3,Fp1,8,-9.75857596888713,455.0,-1.7494753356992598
S_3,F3,8,-8.889777506741884,251.0,-2.5011196691265636
S_3,F7,8,-11.728280766719278,220.0,-3.787564507159304
S_3,FT9,8,-7.309787899731854,466.0,-1.075955127876626
S_3,FC5,8,-7.039804500404873,248.0,-2.3386417720547508
S_3,FC1,8,-5.504859090982957,294.0,-1.5419593774333733
S_3,C3,8,-4.028506046752075,297.0,-0.47907370414019895
S_3,T7,8,-6.315785557731872,488.0,-0.7618181047579686
S_3,TP9,8,6.712634851033135,92.0,1.2017148904402568
S_3,CP5,8,-4.077650263137138,494.0,0.03564605066292525
S_3,CP1,8,-4.275380228335762,126.0,0.1399282248612916
S_3,Pz,8,-6.938290831863441,112.0,-0.49678874489613545
S_3,P3,8,-6.045490111155308,289.0,-0.5182073129402944
S_3,P7,8,7.5798732254986305,728.0,1.872429850020943
S_3,O1,8,10.582416795307175,731.0,2.631220698621848
S_3,Oz,8,8.850207651414452,263.0,2.3614524800809376
S_3,O2,8,9.868123764068272,310.0,1.1442734747318617
S_3,P4,8,5.866137133053603,333.0,0.8585969731530382
S_3,P8,8,6.787988646872945,127.0,1.2858311464739167
S_3,TP10,8,10.056793516173585,744.0,1.4587075735950712
S_3,CP6,8,-4.910339516012007,105.0,-0.30062845052863024
S_3,CP2,8,6.425530259732942,198.0,0.5447920195355914
S_3,Cz,8,4.562948943327244,200.0,-0.2301427608578175
S_3,C4,8,6.443354042134868,202.0,0.1296925365938809
S_3,T8,8,-6.005058015695518,435.0,-0.2964710508099347
S_3,FT10,8,-7.084905067310301,705.0,-0.03436188851379227
S_3,FC6,8,7.502529393707476,399.0,1.1045481484462776
S_3,FC2,8,6.048800456787674,200.0,0.285044249779515
S_3,F4,8,5.806207945629284,404.0,-0.19051300596788232
S_3,F8,8,8.405827603508483,495.0,0.6026833488818615
S_3,Fp2,8,11.638258997093816,800.0,0.6461591468833137
S_4,Fp1,8,10.927588890453713,562.0,1.2411988496520796
S_4,F3,8,-7.692124815048247,302.0,-0.5125355427843129
S_4,F7,8,8.175006969171777,51.0,0.6667557311528811
S_4,FT9,8,5.0436233983039465,53.0,0.47633350680715975
S_4,FC5,8,-7.770637293494064,301.0,-0.9837208747357742
S_4,FC1,8,-5.662398537102324,300.0,0.04305396246696637
S_4,C3,8,-6.3862684302493555,296.0,-0.6797409834707528
S_4,T7,8,-5.578580043300783,531.0,-0.26714651610489953
S_4,TP9,8,7.148347197417108,800.0,-0.05773680901051191
S_4,CP5,8,-6.071078967149662,251.0,-0.5151193917182177
S_4,CP1,8,-5.4700282698539935,290.0,-0.4366365043192461
S_4,Pz,8,-4.3747672566101645,800.0,-0.1302948746085613
S_4,P3,8,-4.734555784277954,471.0,0.8081588782229426
S_4,P7,8,7.471468426537039,125.0,0.9349990617668436
S_4,O1,8,12.195536182306387,129.0,2.6140963220430877
S_4,Oz,8,9.460840169194748,299.0,2.210256852691608
S_4,O2,8,11.609809605826477,303.0,0.5234488223619884
S_4,P4,8,-5.531129075520078,52.0,-0.46552615741219483
S_4,P8,8,8.263295282011981,305.0,0.6790192014724027
S_4,TP10,8,-10.116163225896146,167.0,-0.29141284784473087
S_4,CP6,8,-5.450320595453998,52.0,-0.6575785157605516
S_4,CP2,8,-3.750519303077851,464.0,-1.0142455031066946
S_4,Cz,8,-6.842818333487487,293.0,-1.1953207676282485
S_4,C4,8,-4.635697168432217,20.0,-0.8910729029937989
S_4,T8,8,7.924105734044342,408.0,-0.4042373522528557
S_4,FT10,8,-6.847882932223907,158.0,-0.7118982803762498
S_4,FC6,8,-6.427954337265707,130.0,-1.4600682276811536
S_4,FC2,8,-5.328643594294031,269.0,-1.1704236005555457
S_4,F4,8,-6.326186026178632,796.0,-0.10657270077084585
S_4,F8,8,-7.3544253267161075,799.0,-0.22235264058090753
S_4,Fp2,8,16.626120948501374,533.0,1.9763198050780932
S_5,Fp1,7,12.557600041303163,0.0,1.851284957265108
S_5,F3,7,-7.927823327346887,347.0,-0.6686304953305988
S_5,F7,7,-11.295487436694922,388.0,-2.1130003853922057
S_5,FT9,7,-8.996944358017288,571.0,-1.91429497884302
S_5,FC5,7,-5.671908669422021,347.0,-0.9701302634043015
S_5,FC1,7,-7.980255666049973,347.0,-1.051850594330205
S_5,C3,7,-4.723419609133829,267.0,-0.4427758483520098
S_5,T7,7,-5.956233199435715,540.0,-0.6530247618388001
S_5,TP9,7,5.155557334420265,654.0,-0.23692482117158895
S_5,CP5,7,-3.7332055781141125,283.0,-0.03827675062707852
S_5,CP1,7,-4.7051414879059354,272.0,-0.1421249755000565
S_5,Pz,7,6.193543279432,571.0,0.5686296744318696
S_5,P3,7,8.054901185212803,314.0,1.463809433397234
S_5,P7,7,8.456132337521485,315.0,2.051467923437751
