type,description,normalized_description,sample,size,channel,used_for_analysis,event_code
New Segment,,,0,1,0,False,
Comment,resting start,resting start,85700,1,0,False,
Comment,resting end,resting end,208400,1,0,False,
Comment,resting start,resting start,236500,1,0,False,
Comment,resting end,resting end,354760,1,0,False,
Comment,resting start,resting start,402880,1,0,False,
Comment,resting end,resting end,532240,1,0,False,
Comment,resting start,resting start,566020,1,0,False,
Comment,resting end,resting end,691680,1,0,False,
Comment,resting start,resting start,724120,1,0,False,
Comment,resting end,resting end,825260,1,0,False,
Comment,resting start,resting start,866500,1,0,False,
Comment,resting end,resting end,992380,1,0,False,
Comment,task start,task start,1100300,1,0,False,
Response,R  1,R 1,1103636,1,0,False,
Stimulus,S  5,S 5,1103636,1,0,True,5
Stimulus,S  8,S 8,1112436,1,0,True,8
Stimulus,S  7,S 7,1116470,1,0,True,7
Response,R  1,R 1,1120970,1,0,False,
Stimulus,S  8,S 8,1120970,1,0,True,8
Stimulus,S 10,S 10,1129887,1,0,True,10
Response,R  1,R 1,1134337,1,0,False,
Stimulus,S  1,S 1,1134337,1,0,True,1
Stimulus,S 11,S 11,1143037,1,0,True,11
Stimulus,S  3,S 3,1147787,1,0,True,3
Stimulus,S  4,S 4,1152004,1,0,True,4
Response,R  1,R 1,1156287,1,0,False,
Stimulus,S  2,S 2,1156287,1,0,True,2
Stimulus,S 15,S 15,1160754,1,0,True,15
Stimulus,S  2,S 2,1164988,1,0,True,2
Stimulus,S  6,S 6,1169338,1,0,True,6
Stimulus,S 12,S 12,1173638,1,0,True,12
Stimulus,S 14,S 14,1177934,1,0,True,14
Response,R  1,R 1,1182168,1,0,False,
Stimulus,S  3,S 3,1182168,1,0,True,3
Stimulus,S  7,S 7,1186568,1,0,True,7
Stimulus,S  9,S 9,1190934,1,0,True,9
Response,R  1,R 1,1195135,1,0,False,
Stimulus,S  4,S 4,1195135,1,0,True,4
Stimulus,S  6,S 6,1199301,1,0,True,6
Stimulus,S 13,S 13,1208018,1,0,True,13
Response,R  1,R 1,1212385,1,0,False,
Stimulus,S  7,S 7,1212385,1,0,True,7
Stimulus,S  4,S 4,1216585,1,0,True,4
Stimulus,S  2,S 2,1220802,1,0,True,2
Stimulus,S  3,S 3,1225185,1,0,True,3
Stimulus,S 14,S 14,1229402,1,0,True,14
Stimulus,S 10,S 10,1233619,1,0,True,10
Stimulus,S 12,S 12,1237902,1,0,True,12
Response,R  1,R 1,1242169,1,0,False,
Stimulus,S  6,S 6,1242169,1,0,True,6
