name,condition,start,end,sampling_rate_hz,ecg_channel
task,task,1100300,1536340,1000.0,ECG
pre_rest_01_EO,pre_rest_EO,85700,208400,1000.0,ECG
pre_rest_02_EC,pre_rest_EC,236500,354760,1000.0,ECG
pre_rest_03_EO,pre_rest_EO,402880,532240,1000.0,ECG
pre_rest_04_EC,pre_rest_EC,566020,691680,1000.0,ECG
pre_rest_05_EO,pre_rest_EO,724120,825260,1000.0,ECG
pre_rest_06_EC,pre_rest_EC,866500,992380,1000.0,ECG
post_rest_01_EO,post_rest_EO,1654580,1777060,1000.0,ECG
post_rest_02_EC,post_rest_EC,1810660,1932080,1000.0,ECG
post_rest_03_EO,post_rest_EO,1965160,2086020,1000.0,ECG
post_rest_04_EC,post_rest_EC,2121300,2242020,1000.0,ECG
post_rest_05_EO,post_rest_EO,2276500,2397080,1000.0,ECG
post_rest_06_EC,post_rest_EC,2434860,2559160,1000.0,ECG
