Time,Condition,Block,metric,n_participants,mean,ci_lower_95,ci_upper_95,ci_method
Post,EC,EC1,Mean_RR_ms,1,780.1818181818181,,,t
Post,EC,EC1,SDNN_ms,1,45.948458556641825,,,t
Post,EC,EC1,RMSSD_ms,1,38.708395333325896,,,t
Post,EC,EC2,Mean_RR_ms,1,784.8618421052631,,,t
Post,EC,EC2,SDNN_ms,1,31.575212287825742,,,t
Post,EC,EC2,RMSSD_ms,1,34.25575796333201,,,t
Post,EC,EC3,Mean_RR_ms,1,776.8860759493671,,,t
Post,EC,EC3,SDNN_ms,1,30.532633619030314,,,t
Post,EC,EC3,RMSSD_ms,1,33.702236785281926,,,t
Post,EO,EO1,Mean_RR_ms,1,789.9869281045752,,,t
Post,EO,EO1,SDNN_ms,1,45.01680781548279,,,t
Post,EO,EO1,RMSSD_ms,1,33.49096500314832,,,t
Post,EO,EO2,Mean_RR_ms,1,791.6754966887418,,,t
Post,EO,EO2,SDNN_ms,1,40.99212114034829,,,t
Post,EO,EO2,RMSSD_ms,1,36.78342017811829,,,t
Post,EO,EO3,Mean_RR_ms,1,787.4900662251656,,,t
Post,EO,EO3,SDNN_ms,1,44.8475740777832,,,t
Post,EO,EO3,RMSSD_ms,1,36.73100416088113,,,t
Pre,EC,EC1,Mean_RR_ms,1,782.18,,,t
Pre,EC,EC1,SDNN_ms,1,46.583845170536144,,,t
Pre,EC,EC1,RMSSD_ms,1,34.744127020492364,,,t
Pre,EC,EC2,Mean_RR_ms,1,773.0807453416149,,,t
Pre,EC,EC2,SDNN_ms,1,59.98947565565975,,,t
Pre,EC,EC2,RMSSD_ms,1,37.87479372881125,,,t
Pre,EC,EC3,Mean_RR_ms,1,804.7548387096774,,,t
Pre,EC,EC3,SDNN_ms,1,54.24826790406031,,,t
Pre,EC,EC3,RMSSD_ms,1,39.92492955535426,,,t
Pre,EO,EO1,Mean_RR_ms,1,821.3715277777778,,,t
Pre,EO,EO1,SDNN_ms,1,49.98547853909613,,,t
Pre,EO,EO1,RMSSD_ms,1,36.387439792432325,,,t
Pre,EO,EO2,Mean_RR_ms,1,777.030303030303,,,t
Pre,EO,EO2,SDNN_ms,1,47.032218360736536,,,t
Pre,EO,EO2,RMSSD_ms,1,28.44442591886253,,,t
Pre,EO,EO3,Mean_RR_ms,1,794.2619047619048,,,t
Pre,EO,EO3,SDNN_ms,1,40.83786058479138,,,t
Pre,EO,EO3,RMSSD_ms,1,33.357098195136814,,,t
Task,Task,Task,Mean_RR_ms,1,798.438330170778,,,t
Task,Task,Task,SDNN_ms,1,43.38977437600115,,,t
Task,Task,Task,RMSSD_ms,1,41.663743979388585,,,t
