Time,Condition,metric,n_participants,mean,ci_lower_95,ci_upper_95,ci_method
Post,EC,Mean_RR_ms,1,780.6432454121496,,,t
Post,EC,SDNN_ms,1,36.0187681544993,,,t
Post,EC,RMSSD_ms,1,35.55546336064661,,,t
Post,EO,Mean_RR_ms,1,789.7174970061609,,,t
Post,EO,SDNN_ms,1,43.618834344538094,,,t
Post,EO,RMSSD_ms,1,35.668463114049246,,,t
Pre,EC,Mean_RR_ms,1,786.6718613504308,,,t
Pre,EC,SDNN_ms,1,53.60719624341874,,,t
Pre,EC,RMSSD_ms,1,37.51461676821929,,,t
Pre,EO,Mean_RR_ms,1,797.5545785233286,,,t
Pre,EO,SDNN_ms,1,45.95185249487468,,,t
Pre,EO,RMSSD_ms,1,32.729654635477225,,,t
Task,Task,Mean_RR_ms,1,798.438330170778,,,t
Task,Task,SDNN_ms,1,43.38977437600115,,,t
Task,Task,RMSSD_ms,1,41.663743979388585,,,t
